Freq.,V(n001)
1.00000000000000e-003,9.99999999960522e-001,-6.28318530693154e-006
1.00695555005672e-003,9.99999999959970e-001,-6.32688831684605e-006
1.01395947979003e-003,9.99999999959412e-001,-6.37089530523358e-006
1.02101212570719e-003,9.99999999958845e-001,-6.41520838643162e-006
1.02811382665607e-003,9.99999999958271e-001,-6.45982968948401e-006
1.03526492384138e-003,9.99999999957688e-001,-6.50476135824331e-006
1.04246576084112e-003,9.99999999957097e-001,-6.55000555147371e-006
1.04971668362307e-003,9.99999999956499e-001,-6.59556444295483e-006
1.05701804056138e-003,9.99999999955891e-001,-6.64144022158608e-006
1.06437018245336e-003,9.99999999955276e-001,-6.68763509149191e-006
1.07177346253629e-003,9.99999999954651e-001,-6.73415127212765e-006
1.07922823650443e-003,9.99999999954018e-001,-6.78099099838616e-006
1.08673486252606e-003,9.99999999953376e-001,-6.82815652070521e-006
1.09429370126074e-003,9.99999999952725e-001,-6.87565010517561e-006
1.10190511587661e-003,9.99999999952065e-001,-6.92347403365007e-006
1.10956947206785e-003,9.99999999951396e-001,-6.97163060385286e-006
1.11728713807222e-003,9.99999999950718e-001,-7.02012212949015e-006
1.12505848468881e-003,9.99999999950030e-001,-7.06895094036123e-006
1.13288388529580e-003,9.99999999949332e-001,-7.11811938247044e-006
1.14076371586843e-003,9.99999999948625e-001,-7.16762981813984e-006
1.14869835499704e-003,9.99999999947908e-001,-7.21748462612277e-006
1.15668818390529e-003,9.99999999947181e-001,-7.26768620171808e-006
1.16473358646846e-003,9.99999999946443e-001,-7.31823695688526e-006
1.17283494923188e-003,9.99999999945696e-001,-7.36913932036030e-006
1.18099266142953e-003,9.99999999944938e-001,-7.42039573777237e-006
1.18920711500272e-003,9.99999999944169e-001,-7.47200867176137e-006
1.19747870461893e-003,9.99999999943390e-001,-7.52398060209618e-006
1.20580782769076e-003,9.99999999942600e-001,-7.57631402579385e-006
1.21419488439505e-003,9.99999999941798e-001,-7.62901145723957e-006
1.22264027769207e-003,9.99999999940986e-001,-7.68207542830744e-006
1.23114441334492e-003,9.99999999940162e-001,-7.73550848848215e-006
1.23970769993899e-003,9.99999999939327e-001,-7.78931320498145e-006
