freq,mag,phase
1.00000000000000e-003,-1.71452601917534e-010,-3.59999999995263e-004
1.00695555005672e-003,-1.73846062689567e-010,-3.62503998015582e-004
1.01395947979003e-003,-1.76274239250397e-010,-3.65025412719472e-004
1.02101212570719e-003,-1.78733274290158e-010,-3.67564365249547e-004
1.02811382665607e-003,-1.81228953773650e-010,-3.70120977591036e-004
1.03526492384138e-003,-1.83757420391005e-010,-3.72695372577640e-004
1.04246576084112e-003,-1.86323495779558e-010,-3.75287673897437e-004
1.04971668362307e-003,-1.88924286956909e-010,-3.77898006098825e-004
1.05701804056138e-003,-1.91561722577990e-010,-3.80526494596502e-004
1.06437018245336e-003,-1.94234838315335e-010,-3.83173265677498e-004
1.07177346253629e-003,-1.96946527151344e-010,-3.85838446507234e-004
1.07922823650443e-003,-1.99696789086017e-010,-3.88522165135639e-004
1.08673486252606e-003,-2.02484659791887e-010,-3.91224550503301e-004
1.09429370126074e-003,-2.05311103596421e-010,-3.93945732447659e-004
1.10190511587661e-003,-2.08177084827085e-010,-3.96685841709242e-004
1.10956947206785e-003,-2.11083567811347e-010,-3.99445009937953e-004
1.11728713807222e-003,-2.14030552549206e-010,-4.02223369699392e-004
1.12505848468881e-003,-2.17017074713196e-010,-4.05021054481226e-004
1.13288388529580e-003,-2.20046991613182e-010,-4.07838198699600e-004
1.14076371586843e-003,-2.23118374594233e-010,-4.10674937705600e-004
1.14869835499704e-003,-2.26232187983814e-010,-4.13531407791753e-004
1.15668818390529e-003,-2.29391324764325e-010,-4.16407746198573e-004
1.16473358646846e-003,-2.32593856280834e-010,-4.19304091121159e-004
1.17283494923188e-003,-2.35840746860806e-010,-4.22220581715834e-004
1.18099266142953e-003,-2.39132960831709e-010,-4.25157358106828e-004
1.18920711500272e-003,-2.42471462521009e-010,-4.28114561393013e-004
1.19747870461893e-003,-2.45856251928707e-010,-4.31092333654681e-004
1.20580782769076e-003,-2.49286364727334e-010,-4.34090817960369e-004
1.21419488439505e-003,-2.52769515536626e-010,-4.37110158373738e-004
1.22264027769207e-003,-2.56296061081914e-010,-4.40150499960487e-004
1.23114441334492e-003,-2.59872751655467e-010,-4.43211988795331e-004
1.23970769993899e-003,-2.63502480239683e-010,-4.46294771969010e-004
1.24833054890162e-003,-2.67180425197229e-010,-4.49398997595366e-004
1.25701337452183e-003,-2.70908515183040e-010,-4.52524814818450e-004
1.26575659397028e-003,-2.74691571834447e-010,-4.55672373819695e-004
1.27456062731927e-003,-2.78526702169052e-010,-4.58841825825127e-004
1.28342589756291e-003,-2.82413906186853e-010,-4.62033323112632e-004
1.29235283063750e-003,-2.86356076870252e-010,-4.65247019019273e-004
1.30134185544194e-003,-2.90353214219248e-010,-4.68483067948657e-004
1.31039340385837e-003,-2.94406282561308e-010,-4.71741625378352e-004
1.31950791077290e-003,-2.98515281896432e-010,-4.75022847867360e-004
1.32868581409652e-003,-3.02683105207020e-010,-4.78326893063633e-004
1.33792755478612e-003,-3.06907823838138e-010,-4.81653919711656e-004
1.34723357686570e-003,-3.11195223754586e-010,-4.85004087660066e-004
1.35660432744768e-003,-3.15538554664099e-010,-4.88377557869336e-004
1.36604025675440e-003,-3.19942638204009e-010,-4.91774492419508e-004
1.37554181813975e-003,-3.24407474374316e-010,-4.95195054517980e-004
1.38510946811093e-003,-3.28936920484887e-010,-4.98639408507346e-004
1.39474366635041e-003,-3.33528083553323e-010,-5.02107719873294e-004
1.40444487573800e-003,-3.38184820889489e-010,-5.05600155252557e-004
1.41421356237310e-003,-3.42905203838452e-010,-5.09116882440917e-004
1.42405019559708e-003,-3.47692125382613e-010,-5.12658070401267e-004
1.43395524801583e-003,-3.52545585521971e-010,-5.16223889271731e-004
1.44392919552250e-003,-3.57467512911460e-010,-5.19814510373839e-004
1.45397251732032e-003,-3.62457907551080e-010,-5.23430106220752e-004
1.46408569594563e-003,-3.67516769440832e-010,-5.27070850525560e-004
1.47426921729111e-003,-3.72646027235647e-010,-5.30736918209619e-004
