Freq.,V(n001)
1.00000000000000e-003,9.99999991141003e-001,-9.42477803022696e-005
1.00695555005672e-003,9.99999990903324e-001,-9.49032985694350e-005
1.01395947979003e-003,9.99999990891277e-001,-9.55634354071688e-005
1.02101212570719e-003,9.99999990650112e-001,-9.62281054637229e-005
1.02811382665607e-003,9.99999990520847e-001,-9.68974367019650e-005
1.03526492384138e-003,9.99999990389782e-001,-9.75714006784507e-005
1.04246576084112e-003,9.99999990484252e-001,-9.82500969138317e-005
1.04971668362307e-003,9.99999990349500e-001,-9.89334826864905e-005
1.05701804056138e-003,9.99999990212870e-001,-9.96216006733526e-005
1.06437018245336e-003,9.99999989960643e-001,-1.00314521905873e-004
1.07177346253629e-003,9.99999989820167e-001,-1.01012274851211e-004
1.07922823650443e-003,9.99999989677734e-001,-1.01714859486707e-004
1.08673486252606e-003,9.99999989646993e-001,-1.02422361100768e-004
1.09429370126074e-003,9.99999989386873e-001,-1.03134736990956e-004
1.10190511587661e-003,9.99999989465753e-001,-1.03852143593752e-004
1.10956947206785e-003,9.99999988974147e-001,-1.04574438611858e-004
1.11728713807222e-003,9.99999988935173e-001,-1.05301821210238e-004
1.12505848468881e-003,9.99999988780385e-001,-1.06034248637760e-004
1.13288388529580e-003,9.99999988737115e-001,-1.06771806207594e-004
1.14076371586843e-003,9.99999988464290e-001,-1.07514451214338e-004
1.14869835499704e-003,9.99999988189244e-001,-1.08262254760467e-004
1.15668818390529e-003,9.99999988025630e-001,-1.09015273714173e-004
1.16473358646846e-003,9.99999987859727e-001,-1.09773550683562e-004
1.17283494923188e-003,9.99999987577829e-001,-1.10537071432635e-004
1.18099266142953e-003,9.99999987634635e-001,-1.11305935538070e-004
1.18920711500272e-003,9.99999987348005e-001,-1.12080128637677e-004
1.19747870461893e-003,9.99999987286336e-001,-1.12859693490726e-004
1.20580782769076e-003,9.99999987222209e-001,-1.13644729522574e-004
1.21419488439505e-003,9.99999986814556e-001,-1.14435151390027e-004
1.22264027769207e-003,9.99999986518063e-001,-1.15231115515648e-004
1.23114441334492e-003,9.99999986673764e-001,-1.16032621979112e-004
1.23970769993899e-003,9.99999986144761e-001,-1.16839684727795e-004
1.24833054890162e-003,9.99999986067878e-001,-1.17652375080153e-004
1.25701337452183e-003,9.99999986102018e-001,-1.18470735590143e-004
1.26575659397028e-003,9.99999985678725e-001,-1.19294737700990e-004
1.27456062731927e-003,9.99999985593752e-001,-1.20124495288447e-004
1.28342589756291e-003,9.99999985392313e-001,-1.20960050876753e-004
1.29235283063750e-003,9.99999985301762e-001,-1.21801361888151e-004
1.30134185544194e-003,9.99999984980968e-001,-1.22648598769791e-004
1.31039340385837e-003,9.99999984657296e-001,-1.23501676311538e-004
1.31950791077290e-003,9.99999984444385e-001,-1.24360665595919e-004
1.32868581409652e-003,9.99999984228492e-001,-1.25225666071010e-004
1.33792755478612e-003,9.99999984123271e-001,-1.26096691976320e-004
1.34723357686570e-003,9.99999983787625e-001,-1.26973757436676e-004
1.35660432744768e-003,9.99999983676248e-001,-1.27856947832268e-004
1.36604025675440e-003,9.99999983220676e-001,-1.28746248807068e-004
1.37554181813975e-003,9.99999983330347e-001,-1.29641760071026e-004
1.38510946811093e-003,9.99999982982042e-001,-1.30543495570907e-004
1.39474366635041e-003,9.99999982744150e-001,-1.31451498086233e-004
1.40444487573800e-003,9.99999982502946e-001,-1.32365781798362e-004
1.41421356237310e-003,9.99999982372041e-001,-1.33286503056977e-004
1.42405019559708e-003,9.99999981782996e-001,-1.34213548023276e-004
1.43395524801583e-003,9.99999981758904e-001,-1.35147115923212e-004
1.44392919552250e-003,9.99999981503946e-001,-1.36087107067383e-004
1.45397251732032e-003,9.99999981245414e-001,-1.37033692047050e-004
1.46408569594563e-003,9.99999980869595e-001,-1.37986828198255e-004
1.47426921729111e-003,9.99999980490123e-001,-1.38946572395331e-004
1.48452357062906e-003,9.99999980447980e-001,-1.39913066842230e-004
1.49484924863495e-003,9.99999980402083e-001,-1.40886254601399e-004
1.50524674741107e-003,9.99999980011325e-001,-1.41866163997764e-004
1.51571656651041e-003,9.99999979389319e-001,-1.42852908748604e-004
