Freq.,V(n002)
1.00000000000000e-003,9.99999991148100e-001,-9.42478745507147e-005
1.00695555005672e-003,9.99999990910520e-001,-9.49033934734392e-005
1.01395947979003e-003,9.99999990898573e-001,-9.55635309712983e-005
1.02101212570719e-003,9.99999990657510e-001,-9.62282016925437e-005
1.02811382665607e-003,9.99999990528348e-001,-9.68975336001403e-005
1.03526492384138e-003,9.99999990397388e-001,-9.75714982506022e-005
1.04246576084112e-003,9.99999990491965e-001,-9.82501951646781e-005
1.04971668362307e-003,9.99999990357320e-001,-9.89335816207367e-005
1.05701804056138e-003,9.99999990220800e-001,-9.96217002957452e-005
1.06437018245336e-003,9.99999989968684e-001,-1.00314622221186e-004
1.07177346253629e-003,9.99999989828320e-001,-1.01012375864302e-004
1.07922823650443e-003,9.99999989686000e-001,-1.01714961202407e-004
1.08673486252606e-003,9.99999989655375e-001,-1.02422463523975e-004
1.09429370126074e-003,9.99999989395371e-001,-1.03134840126583e-004
1.10190511587661e-003,9.99999989474371e-001,-1.03852247446768e-004
1.10956947206785e-003,9.99999988982884e-001,-1.04574543187218e-004
1.11728713807222e-003,9.99999988944033e-001,-1.05301926512993e-004
1.12505848468881e-003,9.99999988789368e-001,-1.06034354672963e-004
1.13288388529580e-003,9.99999988746224e-001,-1.06771912980366e-004
1.14076371586843e-003,9.99999988473526e-001,-1.07514558729773e-004
1.14869835499704e-003,9.99999988198609e-001,-1.08262363023742e-004
1.15668818390529e-003,9.99999988035125e-001,-1.09015382730491e-004
1.16473358646846e-003,9.99999987869355e-001,-1.09773660458184e-004
1.17283494923188e-003,9.99999987587591e-001,-1.10537181970808e-004
1.18099266142953e-003,9.99999987644534e-001,-1.11306046845108e-004
1.18920711500272e-003,9.99999987358042e-001,-1.12080240718939e-004
1.19747870461893e-003,9.99999987296513e-001,-1.12859806351569e-004
1.20580782769076e-003,9.99999987232528e-001,-1.13644843168465e-004
1.21419488439505e-003,9.99999986825019e-001,-1.14435265826380e-004
1.22264027769207e-003,9.99999986528672e-001,-1.15231230748001e-004
1.23114441334492e-003,9.99999986684522e-001,-1.16032738012974e-004
1.23970769993899e-003,9.99999986155669e-001,-1.16839801568774e-004
1.24833054890162e-003,9.99999986078938e-001,-1.17652492733842e-004
1.25701337452183e-003,9.99999986113233e-001,-1.18470854062191e-004
1.26575659397028e-003,9.99999985690096e-001,-1.19294856997101e-004
1.27456062731927e-003,9.99999985605282e-001,-1.20124615414340e-004
1.28342589756291e-003,9.99999985404003e-001,-1.20960171838215e-004
1.29235283063750e-003,9.99999985313615e-001,-1.21801483690955e-004
1.30134185544194e-003,9.99999984992987e-001,-1.22648721419851e-004
1.31039340385837e-003,9.99999984669483e-001,-1.23501799814724e-004
1.31950791077290e-003,9.99999984456742e-001,-1.24360789958144e-004
1.32868581409652e-003,9.99999984241022e-001,-1.25225791298256e-004
1.33792755478612e-003,9.99999984135975e-001,-1.26096818074611e-004
1.34723357686570e-003,9.99999983800506e-001,-1.26973884412090e-004
1.35660432744768e-003,9.99999983689309e-001,-1.27857075690885e-004
1.36604025675440e-003,9.99999983233920e-001,-1.28746377555037e-004
1.37554181813975e-003,9.99999983343776e-001,-1.29641889714523e-004
1.38510946811093e-003,9.99999982995659e-001,-1.30543626116177e-004
1.39474366635041e-003,9.99999982757957e-001,-1.31451629539536e-004
1.40444487573800e-003,9.99999982516945e-001,-1.32365914166000e-004
1.41421356237310e-003,9.99999982386236e-001,-1.33286636345362e-004
1.42405019559708e-003,9.99999981797389e-001,-1.34213682238779e-004
1.43395524801583e-003,9.99999981773497e-001,-1.35147251072300e-004
1.44392919552250e-003,9.99999981518743e-001,-1.36087243156511e-004
1.45397251732032e-003,9.99999981260418e-001,-1.37033829082796e-004
1.46408569594563e-003,9.99999980884808e-001,-1.37986966187198e-004
1.47426921729111e-003,9.99999980505548e-001,-1.38946711344078e-004
1.48452357062906e-003,9.99999980463621e-001,-1.39913206757485e-004
1.49484924863495e-003,9.99999980417943e-001,-1.40886395489867e-004
1.50524674741107e-003,9.99999980027406e-001,-1.41866305866203e-004
1.51571656651041e-003,9.99999979405624e-001,-1.42853051603857e-004
1.52625920896057e-003,9.99999979234668e-001,-1.43846675530262e-004
1.53687518128802e-003,9.99999979173417e-001,-1.44847234392778e-004
1.54756499354240e-003,9.99999978880768e-001,-1.45854742303493e-004
1.55832915932101e-003,9.99999978470363e-001,-1.46869199294414e-004
1.56916819579351e-003,9.99999978283179e-001,-1.47890747574322e-004
1.58008262372676e-003,9.99999977978100e-001,-1.48919429675638e-004
1.59107296750985e-003,9.99999977441391e-001,-1.49955259774420e-004
1.60213975517925e-003,9.99999977241424e-001,-1.50998294884327e-004
1.61328351844426e-003,9.99999976923407e-001,-1.52048534869211e-004
1.62450479271248e-003,9.99999976714612e-001,-1.53106164539205e-004
1.63580411711557e-003,9.99999976387657e-001,-1.54171055927130e-004
1.64718203453516e-003,9.99999975715070e-001,-1.55243379492045e-004
1.65863909162889e-003,9.99999975606280e-001,-1.56323192359477e-004
1.67017583885675e-003,9.99999975265416e-001,-1.57410536915195e-004
1.68179283050744e-003,9.99999974806127e-001,-1.58505384771990e-004
1.69349062472506e-003,9.99999974569372e-001,-1.59607892357494e-004
1.70526978353592e-003,9.99999974441415e-001,-1.60718059636612e-004
1.71713087287552e-003,9.99999973740075e-001,-1.61835914811115e-004
1.72907446261574e-003,9.99999973374766e-001,-1.62961543438715e-004
1.74110112659226e-003,9.99999973004330e-001,-1.64095087518368e-004
1.75321144263208e-003,9.99999972856110e-001,-1.65236476070912e-004
1.76540599258132e-003,9.99999972475285e-001,-1.66385765790050e-004
1.77768536233315e-003,9.99999972202814e-001,-1.67543098897053e-004
1.79005014185596e-003,9.99999971356540e-001,-1.68708418319190e-004
1.80250092522167e-003,9.99999971300582e-001,-1.69881923467893e-004
1.81503831063433e-003,9.99999970784364e-001,-1.71063500234152e-004
1.82766290045881e-003,9.99999970262520e-001,-1.72253319301685e-004
1.84037530124976e-003,9.99999969962323e-001,-1.73451494436179e-004
1.85317612378075e-003,9.99999969542705e-001,-1.74657883411587e-004
1.86606598307363e-003,9.99999969230877e-001,-1.75872770524203e-004
1.87904549842804e-003,9.99999968572083e-001,-1.77096013505298e-004
1.89211529345121e-003,9.99999968475663e-001,-1.78327868472024e-004
1.90527599608789e-003,9.99999967691051e-001,-1.79568192870984e-004
1.91852823865054e-003,9.99999967468646e-001,-1.80817242944754e-004
1.93187265784971e-003,9.99999967012626e-001,-1.82074876299231e-004
1.94530989482459e-003,9.99999966436531e-001,-1.83341320348131e-004
1.95884059517387e-003,9.99999965853990e-001,-1.84616546710779e-004
1.97246540898673e-003,9.99999965492269e-001,-1.85900669158592e-004
1.98618499087409e-003,9.99999965010226e-001,-1.87193715987353e-004
2.00000000000002e-003,9.99999964635136e-001,-1.88495772546991e-004
2.01391110011345e-003,9.99999964139554e-001,-1.89806838752146e-004
2.02791895958007e-003,9.99999963409678e-001,-1.91127028245293e-004
2.04202425141440e-003,9.99999963127536e-001,-1.92456398130532e-004
2.05622765331215e-003,9.99999962383515e-001,-1.93795061745956e-004
2.07052984768277e-003,9.99999962087037e-001,-1.95143019442722e-004
2.08493152168226e-003,9.99999961328508e-001,-1.96500327710608e-004
2.09943336724615e-003,9.99999961017281e-001,-1.97867157436049e-004
2.11403608112278e-003,9.99999960471189e-001,-1.99243423085819e-004
2.12874036490674e-003,9.99999959690109e-001,-2.00629238344829e-004
2.14354692507261e-003,9.99999959128652e-001,-2.02024745503579e-004
2.15845647300887e-003,9.99999958559364e-001,-2.03429944471340e-004
2.17346972505214e-003,9.99999958209513e-001,-2.04844892184722e-004
2.18858740252150e-003,9.99999957510535e-001,-2.06269702098006e-004
2.20381023175324e-003,9.99999956917070e-001,-2.07704431240602e-004
2.21913894413571e-003,9.99999956429009e-001,-2.09149136456829e-004
2.23457427614446e-003,9.99999955705181e-001,-2.10603874447499e-004
2.25011696937764e-003,9.99999955200197e-001,-2.12068759090274e-004
2.26576777059162e-003,9.99999954572908e-001,-2.13543790241503e-004
2.28152743173687e-003,9.99999953936850e-001,-2.15029110057635e-004
2.29739670999409e-003,9.99999953178244e-001,-2.16524718489359e-004
2.31337636781060e-003,9.99999952410599e-001,-2.18030814537191e-004
2.32946717293693e-003,9.99999951747544e-001,-2.19547312985901e-004
2.34566989846378e-003,9.99999951075222e-001,-2.21074384316516e-004
2.36198532285908e-003,9.99999950620873e-001,-2.22612113895326e-004
2.37841423000546e-003,9.99999949815988e-001,-2.24160444626161e-004
2.39495740923788e-003,9.99999949115089e-001,-2.25719660928321e-004
2.41161565538154e-003,9.99999948518101e-001,-2.27289705959284e-004
2.42838976879012e-003,9.99999947683873e-001,-2.28870551142270e-004
2.44528055538416e-003,9.99999946839559e-001,-2.30462452375360e-004
2.46228882668986e-003,9.99999946098714e-001,-2.32065466554654e-004
2.47941539987800e-003,9.99999945347531e-001,-2.33679622049802e-004
2.49666109780325e-003,9.99999944813236e-001,-2.35305004232849e-004
2.51402674904368e-003,9.99999943813585e-001,-2.36941641204552e-004
2.53151318794059e-003,9.99999943030493e-001,-2.38589732237805e-004
2.54912125463855e-003,9.99999942236488e-001,-2.40249248803792e-004
2.56685179512583e-003,9.99999941545075e-001,-2.41920333066073e-004
2.58470566127501e-003,9.99999940956108e-001,-2.43603041869174e-004
2.60268371088389e-003,9.99999939901010e-001,-2.45297431778795e-004
2.62078680771675e-003,9.99999939289100e-001,-2.47003616926265e-004
2.63901582154582e-003,9.99999938324435e-001,-2.48721625342167e-004
2.65737162819305e-003,9.99999937347869e-001,-2.50451627723975e-004
2.67585510957225e-003,9.99999936359291e-001,-2.52193595649879e-004
2.69446715373141e-003,9.99999935472163e-001,-2.53947728129581e-004
2.71320865489537e-003,9.99999934800000e-001,-2.55714110487430e-004
2.73208051350882e-003,9.99999933660537e-001,-2.57492770796308e-004
2.75108363627952e-003,9.99999932735734e-001,-2.59283766248260e-004
2.77021893622188e-003,9.99999932025384e-001,-2.61087238954333e-004
2.78948733270084e-003,9.99999930960874e-001,-2.62903273883199e-004
2.80888975147603e-003,9.99999929996815e-001,-2.64731871271735e-004
2.82842712474622e-003,9.99999929019275e-001,-2.66573230012492e-004
