Freq.,V(outop)
1.00000000000000e+003,-2.55742897565218e+001,1.09810156225680e-001
1.00695555005672e+003,-2.55742830738817e+001,1.10573909186856e-001
1.01395947979003e+003,-2.55742762979626e+001,1.11342973690964e-001
1.02101212570719e+003,-2.55742694274581e+001,1.12117386666294e-001
1.02811382665607e+003,-2.55742624610545e+001,1.12897185297754e-001
1.03526492384138e+003,-2.55742553974138e+001,1.13682407028489e-001
1.04246576084112e+003,-2.55742482351705e+001,1.14473089561634e-001
1.04971668362307e+003,-2.55742409729520e+001,1.15269270862328e-001
1.05701804056138e+003,-2.55742336093664e+001,1.16070989159386e-001
1.06437018245336e+003,-2.55742261430031e+001,1.16878282947166e-001
1.07177346253629e+003,-2.55742185724103e+001,1.17691190987184e-001
1.07922823650443e+003,-2.55742108961505e+001,1.18509752310474e-001
1.08673486252606e+003,-2.55742031127394e+001,1.19334006218913e-001
1.09429370126074e+003,-2.55741952206810e+001,1.20163992287404e-001
1.10190511587661e+003,-2.55741872184740e+001,1.20999750365844e-001
1.10956947206785e+003,-2.55741791045629e+001,1.21841320580564e-001
1.11728713807222e+003,-2.55741708773944e+001,1.22688743336768e-001
1.12505848468881e+003,-2.55741625353902e+001,1.23542059320229e-001
1.13288388529580e+003,-2.55741540769405e+001,1.24401309499162e-001
1.14076371586843e+003,-2.55741455004304e+001,1.25266535126428e-001
1.14869835499704e+003,-2.55741368042058e+001,1.26137777741192e-001
1.15668818390529e+003,-2.55741279866001e+001,1.27015079171160e-001
1.16473358646846e+003,-2.55741190459170e+001,1.27898481534401e-001
1.17283494923188e+003,-2.55741099804259e+001,1.28788027241325e-001
1.18099266142953e+003,-2.55741007884144e+001,1.29683758997244e-001
1.18920711500272e+003,-2.55740914680893e+001,1.30585719803380e-001
1.19747870461893e+003,-2.55740820176671e+001,1.31493952959889e-001
1.20580782769076e+003,-2.55740724353413e+001,1.32408502067545e-001
1.21419488439505e+003,-2.55740627192612e+001,1.33329411029640e-001
1.22264027769207e+003,-2.55740528675604e+001,1.34256724054360e-001
1.23114441334492e+003,-2.55740428783539e+001,1.35190485656877e-001
1.23970769993899e+003,-2.55740327497150e+001,1.36130740661210e-001
1.24833054890162e+003,-2.55740224797008e+001,1.37077534202668e-001
1.25701337452183e+003,-2.55740120663333e+001,1.38030911729785e-001
1.26575659397028e+003,-2.55740015076262e+001,1.38990919006776e-001
1.27456062731927e+003,-2.55739908015300e+001,1.39957602115122e-001
1.28342589756291e+003,-2.55739799460038e+001,1.40931007456584e-001
1.29235283063750e+003,-2.55739689389520e+001,1.41911181754682e-001
1.30134185544194e+003,-2.55739577782739e+001,1.42898172057513e-001
1.31039340385837e+003,-2.55739464618120e+001,1.43892025739392e-001
1.31950791077290e+003,-2.55739349873924e+001,1.44892790503564e-001
1.32868581409652e+003,-2.55739233528219e+001,1.45900514384485e-001
1.33792755478612e+003,-2.55739115558493e+001,1.46915245749612e-001
1.34723357686570e+003,-2.55738995942247e+001,1.47937033302464e-001
1.35660432744768e+003,-2.55738874656375e+001,1.48965926084161e-001
1.36604025675440e+003,-2.55738751677620e+001,1.50001973476346e-001
1.37554181813975e+003,-2.55738626982371e+001,1.51045225203266e-001
1.38510946811093e+003,-2.55738500546649e+001,1.52095731334145e-001
1.39474366635041e+003,-2.55738372346201e+001,1.53153542285680e-001
1.40444487573800e+003,-2.55738242356411e+001,1.54218708824346e-001
1.41421356237310e+003,-2.55738110552254e+001,1.55291282068743e-001
1.42405019559708e+003,-2.55737976908386e+001,1.56371313492159e-001
1.43395524801583e+003,-2.55737841399187e+001,1.57458854925060e-001
1.44392919552250e+003,-2.55737703998623e+001,1.58553958557399e-001
1.45397251732032e+003,-2.55737564680234e+001,1.59656676941106e-001
1.46408569594563e+003,-2.55737423417365e+001,1.60767062992848e-001
1.47426921729111e+003,-2.55737280182787e+001,1.61885169996089e-001
1.48452357062906e+003,-2.55737134949096e+001,1.63011051604145e-001
1.49484924863495e+003,-2.55736987688249e+001,1.64144761842121e-001
1.50524674741107e+003,-2.55736838372059e+001,1.65286355110150e-001
1.51571656651041e+003,-2.55736686971754e+001,1.66435886185383e-001
1.52625920896057e+003,-2.55736533458366e+001,1.67593410225134e-001
1.53687518128802e+003,-2.55736377802343e+001,1.68758982768971e-001
1.54756499354240e+003,-2.55736219973749e+001,1.69932659741650e-001
1.55832915932101e+003,-2.55736059942340e+001,1.71114497455842e-001
1.56916819579351e+003,-2.55735897677263e+001,1.72304552614443e-001
1.58008262372676e+003,-2.55735733147507e+001,1.73502882313875e-001
1.59107296750985e+003,-2.55735566321375e+001,1.74709544046073e-001
1.60213975517925e+003,-2.55735397166800e+001,1.75924595701643e-001
1.61328351844426e+003,-2.55735225651387e+001,1.77148095572720e-001
1.62450479271248e+003,-2.55735051742065e+001,1.78380102355193e-001
1.63580411711557e+003,-2.55734875405490e+001,1.79620675152122e-001
1.64718203453516e+003,-2.55734696607767e+001,1.80869873476106e-001
1.65863909162889e+003,-2.55734515314630e+001,1.82127757252391e-001
1.67017583885675e+003,-2.55734331491174e+001,1.83394386821342e-001
1.68179283050744e+003,-2.55734145102163e+001,1.84669822941741e-001
1.69349062472506e+003,-2.55733956111639e+001,1.85954126793101e-001
1.70526978353592e+003,-2.55733764483579e+001,1.87247359979554e-001
1.71713087287552e+003,-2.55733570180923e+001,1.88549584531338e-001
1.72907446261574e+003,-2.55733373166388e+001,1.89860862908924e-001
1.74110112659226e+003,-2.55733173402264e+001,1.91181258005725e-001
1.75321144263208e+003,-2.55732970850064e+001,1.92510833150517e-001
1.76540599258132e+003,-2.55732765470940e+001,1.93849652111094e-001
1.77768536233315e+003,-2.55732557225417e+001,1.95197779096879e-001
1.79005014185596e+003,-2.55732346073504e+001,1.96555278762159e-001
1.80250092522167e+003,-2.55732131974709e+001,1.97922216209139e-001
1.81503831063433e+003,-2.55731914887780e+001,1.99298656990671e-001
1.82766290045881e+003,-2.55731694771190e+001,2.00684667114111e-001
1.84037530124976e+003,-2.55731471582495e+001,2.02080313043401e-001
1.85317612378075e+003,-2.55731245278947e+001,2.03485661703243e-001
1.86606598307363e+003,-2.55731015817045e+001,2.04900780481518e-001
1.87904549842804e+003,-2.55730783152673e+001,2.06325737232729e-001
1.89211529345121e+003,-2.55730547241249e+001,2.07760600281439e-001
1.90527599608789e+003,-2.55730308037386e+001,2.09205438424960e-001
1.91852823865054e+003,-2.55730065495184e+001,2.10660320937088e-001
1.93187265784971e+003,-2.55729819568055e+001,2.12125317571098e-001
1.94530989482459e+003,-2.55729570208788e+001,2.13600498563166e-001
1.95884059517387e+003,-2.55729317369489e+001,2.15085934635578e-001
1.97246540898673e+003,-2.55729061001588e+001,2.16581697000076e-001
1.98618499087409e+003,-2.55728801055783e+001,2.18087857361166e-001
2.00000000000002e+003,-2.55728537482235e+001,2.19604487919823e-001
2.01391110011345e+003,-2.55728270230391e+001,2.21131661376600e-001
2.02791895958007e+003,-2.55727999248866e+001,2.22669450934875e-001
2.04202425141440e+003,-2.55727724485598e+001,2.24217930304565e-001
2.05622765331215e+003,-2.55727445887917e+001,2.25777173705746e-001
2.07052984768277e+003,-2.55727163402171e+001,2.27347255871487e-001
2.08493152168226e+003,-2.55726876974170e+001,2.28928252052173e-001
2.09943336724615e+003,-2.55726586549036e+001,2.30520238018792e-001
2.11403608112278e+003,-2.55726292070946e+001,2.32123290066072e-001
2.12874036490674e+003,-2.55725993483231e+001,2.33737485016208e-001
2.14354692507261e+003,-2.55725690728687e+001,2.35362900223115e-001
2.15845647300887e+003,-2.55725383749166e+001,2.36999613575285e-001
2.17346972505214e+003,-2.55725072485704e+001,2.38647703499718e-001
2.18858740252150e+003,-2.55724756878540e+001,2.40307248965653e-001
2.20381023175324e+003,-2.55724436867113e+001,2.41978329488279e-001
2.21913894413571e+003,-2.55724112389826e+001,2.43661025132041e-001
2.23457427614446e+003,-2.55723783384626e+001,2.45355416515511e-001
2.25011696937764e+003,-2.55723449788198e+001,2.47061584813667e-001
2.26576777059162e+003,-2.55723111536474e+001,2.48779611762657e-001
2.28152743173687e+003,-2.55722768564552e+001,2.50509579663514e-001
2.29739670999409e+003,-2.55722420806704e+001,2.52251571386061e-001
2.31337636781060e+003,-2.55722068195894e+001,2.54005670371820e-001
2.32946717293693e+003,-2.55721710664722e+001,2.55771960639839e-001
2.34566989846378e+003,-2.55721348144351e+001,2.57550526788495e-001
2.36198532285908e+003,-2.55720980565316e+001,2.59341454001107e-001
2.37841423000547e+003,-2.55720607856881e+001,2.61144828048608e-001
2.39495740923788e+003,-2.55720229947657e+001,2.62960735294861e-001
2.41161565538155e+003,-2.55719846765001e+001,2.64789262699473e-001
