Freq.	V(out5)
1.00000000000000e+003	-1.88996197262003e+001,8.20931322802679e-002
1.00695555005672e+003	-1.88996147335098e+001,8.26641075331398e-002
1.01395947979003e+003	-1.88996096711286e+001,8.32390536523030e-002
1.02101212570719e+003	-1.88996045380840e+001,8.38179982450411e-002
1.02811382665607e+003	-1.88995993333898e+001,8.44009691105215e-002
1.03526492384138e+003	-1.88995940560459e+001,8.49879942409773e-002
1.04246576084112e+003	-1.88995887050383e+001,8.55791018230327e-002
1.04971668362307e+003	-1.88995832793389e+001,8.61743202391339e-002
1.05701804056138e+003	-1.88995777779051e+001,8.67736780688693e-002
1.06437018245336e+003	-1.88995721996799e+001,8.73772040902857e-002
1.07177346253629e+003	-1.88995665435915e+001,8.79849272813801e-002
1.07922823650443e+003	-1.88995608085530e+001,8.85968768213276e-002
1.08673486252606e+003	-1.88995549934627e+001,8.92130820920250e-002
1.09429370126074e+003	-1.88995490972031e+001,8.98335726793811e-002
1.10190511587661e+003	-1.88995431186414e+001,9.04583783748162e-002
1.10956947206785e+003	-1.88995370566289e+001,9.10875291765960e-002
1.11728713807222e+003	-1.88995309100007e+001,9.17210552913781e-002
1.12505848468881e+003	-1.88995246775761e+001,9.23589871354998e-002
1.13288388529580e+003	-1.88995183581573e+001,9.30013553365942e-002
1.14076371586843e+003	-1.88995119505304e+001,9.36481907349450e-002
1.14869835499704e+003	-1.88995054534641e+001,9.42995243849830e-002
1.15668818390529e+003	-1.88994988657101e+001,9.49553875567949e-002
1.16473358646846e+003	-1.88994921860027e+001,9.56158117375754e-002
1.17283494923188e+003	-1.88994854130585e+001,9.62808286331528e-002
1.18099266142953e+003	-1.88994785455763e+001,9.69504701695557e-002
1.18920711500272e+003	-1.88994715822365e+001,9.76247684943597e-002
1.19747870461893e+003	-1.88994645217013e+001,9.83037559784504e-002
1.20580782769076e+003	-1.88994573626142e+001,9.89874652173798e-002
1.21419488439505e+003	-1.88994501035996e+001,9.96759290330518e-002
1.22264027769207e+003	-1.88994427432630e+001,1.00369180475265e-001
1.23114441334492e+003	-1.88994352801901e+001,1.01067252823123e-001
1.23970769993899e+003	-1.88994277129472e+001,1.01770179586862e-001
1.24833054890162e+003	-1.88994200400804e+001,1.02477994509361e-001
1.25701337452183e+003	-1.88994122601155e+001,1.03190731567625e-001
1.26575659397028e+003	-1.88994043715578e+001,1.03908424974630e-001
1.27456062731927e+003	-1.88993963728918e+001,1.04631109180741e-001
1.28342589756291e+003	-1.88993882625806e+001,1.05358818875482e-001
1.29235283063750e+003	-1.88993800390662e+001,1.06091588989161e-001
1.30134185544194e+003	-1.88993717007687e+001,1.06829454694553e-001
1.31039340385837e+003	-1.88993632460860e+001,1.07572451408440e-001
1.31950791077290e+003	-1.88993546733939e+001,1.08320614793518e-001
1.32868581409652e+003	-1.88993459810454e+001,1.09073980759926e-001
1.33792755478612e+003	-1.88993371673705e+001,1.09832585467035e-001
1.34723357686570e+003	-1.88993282306761e+001,1.10596465325170e-001
1.35660432744768e+003	-1.88993191692452e+001,1.11365656997277e-001
1.36604025675440e+003	-1.88993099813370e+001,1.12140197400686e-001
1.37554181813975e+003	-1.88993006651863e+001,1.12920123709007e-001
1.38510946811093e+003	-1.88992912190036e+001,1.13705473353660e-001
1.39474366635041e+003	-1.88992816409739e+001,1.14496284025884e-001
1.40444487573800e+003	-1.88992719292573e+001,1.15292593678326e-001
1.41421356237310e+003	-1.88992620819880e+001,1.16094440527023e-001
1.42405019559708e+003	-1.88992520972744e+001,1.16901863053170e-001
