     Nr.     Frequenz       Betrag        Phase  
     1       0.01591549     1.00759        4.04 
     2       0.01628288     1.00794        4.14 
     3       0.01665874     1.00831        4.24 
     4       0.01704328     1.00870        4.34 
     5       0.01743670     1.00911        4.44 
     6       0.01783920     1.00954        4.54 
     7       0.01825099     1.00999        4.65 
     8       0.01867228     1.01046        4.76 
     9       0.01910330     1.01095        4.87 
    10       0.01954427     1.01147        4.99 
    11       0.01999542     1.01201        5.11 
    12       0.02045698     1.01257        5.23 
    13       0.02092920     1.01316        5.35 
    14       0.02141231     1.01378        5.48 
    15       0.02190658     1.01443        5.61 
    16       0.02241226     1.01511        5.74 
    17       0.02292961     1.01582        5.88 
    18       0.02345891     1.01657        6.02 
    19       0.02400042     1.01735        6.16 
    20       0.02455443     1.01817        6.31 
    21       0.02512123     1.01903        6.46 
    22       0.02570111     1.01993        6.62 
    23       0.02629438     1.02087        6.78 
    24       0.02690135     1.02186        6.94 
    25       0.02752232     1.02289        7.11 
    26       0.02815763     1.02398        7.29 
    27       0.02880760     1.02511        7.46 
    28       0.02947258     1.02631        7.65 
    29       0.03015291     1.02755        7.83 
    30       0.03084894     1.02886        8.02 
    31       0.03156104     1.03023        8.22 
    32       0.03228957     1.03167        8.43 
    33       0.03303493     1.03318        8.63 
    34       0.03379748     1.03476        8.85 
    35       0.03457764     1.03642        9.07 
    36       0.03537581     1.03816        9.30 
    37       0.03619241     1.03998        9.53 
    38       0.03702785     1.04189        9.77 
    39       0.03788258     1.04390       10.02 
    40       0.03875704     1.04600       10.27 
    41       0.03965168     1.04821       10.53 
    42       0.04056698     1.05053       10.80 
    43       0.04150340     1.05296       11.08 
    44       0.04246144     1.05551       11.37 
    45       0.04344160     1.05819       11.66 
    46       0.04444438     1.06099       11.97 
    47       0.04547030     1.06394       12.29 
    48       0.04651991     1.06704       12.61 
    49       0.04759375     1.07029       12.95 
    50       0.04869238     1.07370       13.29 
    51       0.04981636     1.07729       13.65 
    52       0.05096629     1.08105       14.02 
    53       0.05214277     1.08501       14.41 
    54       0.05334640     1.08916       14.81 
    55       0.05457782     1.09353       15.22 
    56       0.05583766     1.09811       15.65 
    57       0.05712658     1.10293       16.09 
    58       0.05844526     1.10800       16.55 
    59       0.05979437     1.11332       17.03 
    60       0.06117463     1.11892       17.52 
    61       0.06258675     1.12480       18.04 
